0,1,2,3,4,5,6,7,8,9,10,11,12,13
4169.487,4232.436,4216.41,4214.103,4233.59,4210.513,4184.872,4218.333,4220.513,4224.359,4199.487,4136.41,4236.923,4184.872
4164.872,4229.487,4216.538,4213.333,4233.205,4207.051,4183.462,4225.513,4213.59,4213.462,4198.846,4135.128,4226.282,4181.667
4170.769,4236.282,4221.026,4221.026,4234.615,4207.564,4191.667,4237.308,4221.667,4222.436,4200.769,4140.513,4226.026,4182.564
4172.308,4240.385,4218.077,4220.385,4235.256,4216.282,4202.949,4252.692,4240.128,4241.538,4207.949,4135.256,4231.923,4185.0
4162.821,4226.923,4211.154,4209.872,4238.205,4217.692,4210.385,4258.846,4248.205,4247.564,4210.0,4127.436,4226.538,4182.051
4157.821,4219.487,4212.051,4207.949,4239.359,4216.154,4217.179,4252.949,4241.026,4237.051,4203.205,4130.513,4217.308,4172.051
4157.436,4226.154,4216.026,4214.487,4236.795,4218.077,4221.282,4243.205,4231.154,4227.564,4196.026,4130.769,4211.026,4167.692
4155.0,4228.077,4214.359,4213.846,4234.231,4218.077,4212.821,4231.154,4226.282,4227.179,4193.333,4120.897,4205.385,4169.103
4157.436,4223.205,4214.744,4209.231,4233.59,4217.564,4202.308,4218.846,4224.231,4228.205,4195.897,4123.718,4206.667,4173.718
4168.59,4232.436,4218.846,4212.821,4236.923,4217.051,4196.667,4215.641,4222.436,4230.0,4207.308,4140.769,4224.872,4189.359
4177.692,4246.667,4222.179,4221.538,4239.103,4211.282,4190.0,4215.256,4223.077,4235.128,4217.692,4147.179,4237.692,4203.974
4176.41,4242.692,4224.103,4222.436,4235.513,4207.949,4183.974,4209.231,4222.179,4233.462,4212.692,4140.641,4226.795,4198.718
4169.615,4231.41,4220.769,4215.256,4230.769,4208.462,4181.923,4208.59,4222.179,4231.026,4205.769,4138.59,4219.359,4191.795
4168.462,4226.282,4216.795,4213.205,4234.744,4206.667,4184.487,4223.59,4227.821,4238.974,4215.0,4145.513,4228.205,4196.795
4175.641,4233.077,4218.846,4219.744,4241.923,4210.256,4190.385,4243.077,4237.308,4247.179,4227.949,4149.359,4234.231,4202.179
4179.872,4243.333,4220.385,4222.821,4242.308,4218.974,4196.026,4249.615,4246.795,4251.026,4227.308,4147.564,4229.359,4204.359
4172.564,4237.051,4215.385,4217.692,4236.154,4223.333,4200.897,4248.59,4248.846,4250.128,4218.718,4146.667,4224.615,4199.359
4155.769,4218.846,4208.333,4210.128,4230.769,4222.949,4211.538,4249.359,4243.718,4236.538,4210.256,4138.333,4214.744,4182.821
4145.256,4210.769,4205.256,4207.564,4231.026,4222.308,4220.769,4251.026,4234.872,4220.385,4201.026,4127.436,4198.077,4166.026
4151.154,4213.974,4208.077,4210.0,4231.41,4221.795,4219.872,4245.641,4229.615,4220.641,4197.564,4129.231,4192.179,4167.564
4164.231,4221.667,4215.513,4209.615,4231.538,4220.385,4217.051,4234.359,4228.846,4228.59,4207.821,4139.359,4200.897,4187.308
4173.333,4232.821,4221.026,4211.667,4234.487,4220.897,4217.821,4229.231,4229.872,4230.641,4217.692,4144.615,4209.744,4203.462
4170.0,4227.949,4216.923,4213.974,4234.103,4218.205,4214.231,4227.179,4230.641,4230.641,4209.615,4140.256,4201.795,4198.205
4157.051,4213.974,4209.615,4207.692,4221.41,4211.538,4204.103,4222.051,4230.128,4226.026,4197.821,4132.692,4186.026,4183.718
4152.692,4215.256,4211.795,4205.256,4212.692,4208.333,4194.231,4219.359,4228.462,4226.154,4206.154,4136.923,4189.872,4183.077
4161.795,4222.564,4218.718,4213.462,4225.256,4209.615,4186.923,4219.359,4225.385,4240.513,4220.385,4147.051,4201.667,4196.41
4170.513,4225.385,4220.769,4218.462,4232.564,4209.359,4183.333,4213.462,4222.821,4245.128,4218.974,4147.051,4200.769,4209.231
4174.231,4229.103,4219.615,4215.128,4225.0,4207.949,4183.59,4213.59,4221.41,4233.718,4216.538,4142.949,4203.205,4213.333
4174.231,4233.205,4220.897,4213.718,4227.179,4213.077,4187.692,4228.974,4227.051,4235.769,4218.462,4148.077,4211.538,4214.872
4169.487,4228.846,4223.974,4213.718,4233.333,4221.282,4198.974,4245.128,4240.128,4247.821,4215.641,4152.179,4207.436,4212.949
4163.462,4216.795,4220.0,4210.256,4229.744,4224.872,4213.846,4254.872,4248.974,4243.974,4214.872,4147.692,4199.359,4206.282
4155.385,4210.641,4211.667,4205.897,4229.231,4226.795,4221.154,4253.333,4246.923,4235.897,4213.333,4145.0,4193.59,4198.077
4144.231,4215.0,4209.231,4203.59,4227.949,4224.359,4219.359,4239.103,4237.436,4229.744,4203.59,4141.667,4184.103,4185.641
4144.744,4221.795,4210.256,4205.513,4218.333,4219.744,4216.41,4231.667,4233.718,4218.205,4202.179,4136.923,4185.0,4182.821
4160.128,4232.179,4215.385,4212.692,4221.282,4221.923,4223.462,4242.564,4240.0,4219.487,4214.872,4143.974,4198.077,4204.615
4168.846,4247.179,4220.256,4218.718,4237.179,4227.308,4232.308,4253.974,4244.744,4231.667,4220.256,4151.41,4204.487,4221.282
4160.897,4246.154,4215.256,4212.308,4239.487,4227.692,4225.897,4250.897,4240.0,4231.795,4210.128,4145.769,4196.923,4206.154
4150.256,4233.718,4208.077,4205.0,4232.436,4220.641,4211.41,4237.179,4236.026,4227.051,4201.795,4137.949,4189.615,4187.821
4143.974,4228.974,4209.487,4206.282,4230.256,4215.256,4202.692,4225.641,4233.462,4228.462,4199.744,4136.41,4185.769,4183.718
4142.821,4231.795,4214.872,4212.051,4231.154,4217.692,4198.462,4222.436,4228.077,4227.949,4199.744,4140.641,4182.051,4181.923
4147.564,4240.897,4214.487,4217.564,4239.744,4220.385,4197.308,4221.282,4223.974,4228.333,4207.051,4147.821,4188.205,4191.154
4157.051,4255.385,4218.462,4222.949,4243.59,4217.179,4199.231,4221.026,4217.821,4234.744,4221.41,4153.974,4201.41,4209.872
4168.077,4265.897,4229.487,4226.538,4237.692,4213.718,4196.667,4224.359,4212.051,4240.641,4232.051,4159.487,4204.615,4219.872
4174.615,4266.154,4235.385,4226.923,4237.564,4214.487,4198.846,4232.692,4218.462,4249.744,4233.333,4165.385,4202.564,4226.154
4173.846,4266.154,4233.462,4230.0,4237.692,4215.256,4208.462,4242.308,4231.154,4259.744,4234.231,4169.615,4204.103,4229.744
4167.436,4264.359,4228.077,4230.641,4232.436,4212.564,4212.308,4250.641,4240.513,4260.385,4232.821,4167.436,4193.077,4223.718
4161.795,4254.231,4226.923,4225.897,4232.821,4214.103,4217.308,4257.436,4246.154,4256.026,4224.615,4160.513,4175.385,4213.59
4155.641,4243.077,4226.41,4221.667,4236.41,4223.205,4228.333,4257.949,4246.41,4244.487,4211.923,4155.513,4166.282,4204.615
4144.487,4237.821,4219.231,4218.333,4233.846,4226.795,4232.692,4254.872,4240.641,4224.744,4201.923,4150.769,4153.59,4199.231
4136.538,4233.462,4208.59,4211.154,4230.897,4221.667,4223.077,4245.641,4234.615,4210.897,4192.692,4143.205,4136.795,4193.205
4136.923,4227.051,4203.974,4205.897,4227.179,4217.179,4213.974,4231.667,4225.128,4209.744,4185.769,4137.692,4131.282,4188.077
4142.051,4229.744,4209.487,4211.923,4225.769,4215.513,4209.487,4225.769,4218.846,4212.051,4190.0,4139.359,4140.641,4191.667
4147.821,4241.154,4217.308,4221.282,4232.436,4220.769,4206.154,4228.59,4222.821,4218.205,4200.0,4148.462,4150.513,4202.436
4152.692,4246.41,4219.872,4222.564,4233.718,4226.282,4201.538,4222.436,4226.154,4232.821,4210.0,4156.538,4156.154,4211.282
4163.205,4248.333,4225.128,4223.205,4235.513,4221.538,4189.615,4211.026,4225.385,4243.59,4218.205,4163.205,4164.872,4222.179
4176.282,4258.974,4233.077,4230.128,4243.077,4216.282,4179.615,4214.872,4227.051,4250.0,4222.436,4170.256,4171.538,4236.923
4174.359,4263.974,4230.641,4231.923,4240.256,4214.103,4186.795,4221.282,4222.564,4247.564,4222.564,4170.769,4165.769,4236.41
4161.667,4247.692,4227.821,4226.026,4228.718,4213.718,4206.154,4226.026,4214.615,4234.359,4217.051,4165.128,4153.077,4222.179
4157.708,4244.615,4226.763,4223.381,4229.135,4216.25,4208.686,4228.173,4216.987,4233.333,4214.519,4162.644,4150.288,4218.958
4153.75,4241.538,4225.705,4220.737,4229.551,4218.782,4211.218,4230.321,4219.359,4232.308,4211.987,4160.16,4147.5,4215.737
